id,char,pinyin,initial,strokes,level,polyphonic
7616,戣,kuí,K,13,3,False
7617,𫘪,yuán,Y,13,3,False
7618,𫘬,xí,X,13,3,False
7619,缞,cuī,C,13,3,False
7620,耤,jí,J,14,3,False
7621,瑧,zhēn,Z,14,3,False
7622,𫞩,mén,M,15,3,False
7623,瑨,jìn,J,14,3,False
7624,瑱,tiàn,T,14,3,False
7625,瑷,ài,À,14,3,False
7626,瑢,róng,R,14,3,False
7627,斠,jiào,J,14,3,False
7628,摏,chōng,C,14,3,False
7629,墕,yān,Y,14,3,False
7630,墈,kàn,K,14,3,False
7631,墐,jìn,J,14,3,False
7632,墘,qián,Q,14,3,False
7633,摴,chū,C,14,3,False
7634,銎,qióng,Q,14,3,False
7635,𡐓,kāng,K,14,3,False
7636,墚,liáng,L,14,3,False
7637,撖,hàn,H,14,3,False
7638,𪤗,liào,L,14,3,False
7639,靽,bàn,B,14,3,False
7640,鞁,bèi,B,14,3,False
7641,蔌,sù,S,14,3,False
7642,蔈,piào,P,14,3,False
7643,蓰,xǐ,X,14,3,False
7644,蔹,liǎn,L,14,3,False
7645,蔊,hǎn|hàn,H,14,3,True
7646,嘏,gǔ,G,14,3,False
7647,榰,zhī,Z,14,3,False
7648,榑,fú,F,14,3,False
7649,槚,jiǎ,J,14,3,False
7650,𣗋,dǎng,D,14,3,False
7651,槜,zuì,Z,14,3,False
7652,榍,xiè,X,14,3,False
7653,疐,zhì,Z,14,3,False
7654,𬸘,yǎn,Y,14,3,False
7655,酺,pú,P,14,3,False
7656,酾,shī,S,14,3,False
7657,酲,chéng,C,14,3,False
7658,酴,tú,T,14,3,False
7659,碶,qì,Q,14,3,False
7660,䃎,zhà,Z,14,3,False
7661,𬒗,lán,L,14,3,False
7662,碨,wèi,W,14,3,False
7663,𥔲,è,È,15,3,False
7664,碹,xuàn,X,14,3,False
7665,碥,biǎn,B,14,3,False
7666,劂,jué,J,14,3,False
7667,𫚖,cǐ,C,14,3,False
7668,䴗,jú,J,20,3,False
7669,夥,huǒ,H,14,3,False
7670,瞍,sǒu,S,14,3,False
7671,鹖,hé,H,14,3,False
7672,㬎,xiǎn,X,14,3,False
7673,跽,jì,J,14,3,False
7674,蜾,guǒ,G,14,3,False
7675,幖,biāo,B,14,3,False
7676,嶍,xí,X,14,3,False
7677,圙,lüè,L,14,3,False
7678,𨱏,dā,D,15,3,False
7679,锺,zhōng,Z,14,3,False
7680,锼,sōu,S,14,3,False
7681,锽,huáng,H,14,3,False
7682,𬭤,hóu,H,14,3,False
7683,锾,huán,H,14,3,False
7684,锿,āi,Ā,14,3,False
7685,镃,zī,Z,14,3,False
7686,镄,fèi,F,14,3,False
7687,镅,méi,M,14,3,False
7688,馝,bì,B,14,3,False
7689,鹙,qiū,Q,14,3,False
7690,箨,tuò,T,14,3,False
7691,箖,lín,L,14,3,False
7692,劄,zhá,Z,14,3,False
7693,僬,jiāo,J,14,3,False
7694,僦,jiù,J,14,3,False
7695,僔,zǔn,Z,14,3,False
7696,僎,zhuàn,Z,14,3,False
7697,槃,pán,P,14,3,False
7698,㙦,xié,X,14,3,False
7699,鲒,jié,J,14,3,False
7700,鲕,ér,É,14,3,False
7701,𫚕,shī,S,14,3,False
7702,鲖,tóng,T,14,3,False
7703,鲗,zéi,Z,14,3,False
7704,鲘,hòu,H,14,3,False
7705,鲙,kuài,K,14,3,False
7706,𬶐,zhào,Z,14,3,False
7707,𬶏,wéi,W,14,3,False
7708,𩽾,ān,Ā,14,3,False
7709,夐,xiòng,X,14,3,False
7710,獍,jìng,J,14,3,False
7711,飗,liú,L,14,3,False
7712,𬸚,yuè,Y,14,3,False
7713,凘,sī,S,14,3,False
7714,廑,jǐn,J,14,3,False
7715,廙,yì,Y,14,3,False
7716,瘗,yì,Y,14,3,False
7717,瘥,chài,C,14,3,False
7718,瘕,jiǎ,J,14,3,False
7719,鲝,zhǎ,Z,14,3,False
7720,鄫,zēng,Z,14,3,False
7721,熇,hè,H,14,3,False
7722,漹,yān,Y,14,3,False
7723,漖,jiào,J,14,3,False
7724,潆,yíng,Y,14,3,False
7725,漤,lǎn,L,14,3,False
7726,潩,yì,Y,14,3,False
7727,漼,cuǐ,C,14,3,False
7728,漴,chóng|shuāng,C,14,3,True
7729,㽏,gàn,G,14,3,False
7730,漈,jì,J,14,3,False
7731,漋,lóng,L,14,3,False
7732,漻,liáo,L,14,3,False
7733,慬,qín,Q,14,3,False
7734,窬,yú,Y,14,3,False
7735,窭,jù,J,14,3,False
7736,㮾,lǎng,L,15,3,False
7737,𬤝,huì,H,14,3,False
7738,褕,yú,Y,14,3,False
7739,禛,zhēn,Z,14,3,False
7740,禚,zhuó,Z,14,3,False
7741,隩,ào,À,14,3,False
7742,嫕,yì,Y,14,3,False
7743,嫭,hù,H,14,3,False
7744,嫜,zhāng,Z,14,3,False
7745,嫪,lào,L,14,3,False
7746,𬙂,yǎn,Y,14,3,False
7747,㻬,tū,T,15,3,False
7748,麹,qū,Q,15,3,False
7749,璆,qiú,Q,15,3,False
7750,漦,chí,C,15,3,False
7751,叇,dài,D,15,3,False
7752,墣,pú,P,15,3,False
7753,墦,fán,F,15,3,False
7754,墡,shàn,S,15,3,False
7755,劐,huō,H,15,3,False
7756,薁,ào,À,15,3,False
7757,蕰,wēn,W,15,3,False
7758,蔃,qiáng,Q,15,3,False
7759,鼒,zī,Z,15,3,False
7760,槱,yǒu,Y,15,3,False
7761,鹝,yì,Y,15,3,False
7762,磏,qiān,Q,15,3,False
7763,磉,sǎng,S,15,3,False
7764,殣,jìn,J,15,3,False
7765,慭,yìn,Y,15,3,False
7766,霅,zhà,Z,15,3,False
7767,暵,hàn,H,15,3,False
7768,暲,zhāng,Z,15,3,False
7769,暶,xuán,X,15,3,False
7770,踦,yǐ,Y,15,3,False
7771,踣,bó,B,15,3,False
7772,䗖,dì,D,15,3,False
7773,蝘,yǎn,Y,15,3,False
7774,蝲,là,L,15,3,False
7775,蝤,qiú|yóu,Q,15,3,True
7776,噇,chuáng,C,15,3,False
7777,噂,zǔn,Z,15,3,False
7778,噀,xùn,X,15,3,False
7779,罶,liǔ,L,15,3,False
7780,嶲,xī,X,15,3,False
7781,嶓,bō,B,15,3,False
7782,㠇,jiù,J,15,3,False
7783,嶟,zūn,Z,15,3,False
7784,嶒,céng,C,15,3,False
7785,镆,mò,M,15,3,False
7786,镈,bó,B,15,3,False
7787,镋,tǎng,T,15,3,False
7788,镎,ná,N,15,3,False
7789,𬭩,wēng,W,15,3,False
7790,镕,róng,R,15,3,False
7791,稹,zhěn,Z,15,3,False
7792,儇,xuān,X,15,3,False
7793,皞,hào,H,15,3,False
7794,皛,xiǎo,X,15,3,False
7795,䴘,tī,T,21,3,False
7796,艎,huáng,H,15,3,False
7797,艏,shǒu,S,15,3,False
7798,鹟,wēng,W,15,3,False
7799,𩾃,miǎn,M,15,3,False
7800,鲦,tiáo,T,15,3,False
7801,鲪,jūn,J,15,3,False
7802,鲬,yǒng,Y,15,3,False
7803,橥,zhū,Z,15,3,False
7804,觭,jī,J,15,3,False
7805,鹠,liú,L,15,3,False
7806,鹡,jí,J,15,3,False
7807,糇,hóu,H,15,3,False
7808,糈,xǔ,X,15,3,False
7809,翦,jiǎn,J,15,3,False
7810,鹢,yì,Y,15,3,False
7811,鹣,jiān,J,15,3,False
7812,熛,biāo,B,15,3,False
7813,潖,pá,P,15,3,False
7814,潵,sǎ,S,15,3,False
7815,㵐,jué,J,15,3,False
7816,澂,chéng,C,15,3,False
7817,澛,lǔ,L,15,3,False
7818,瑬,liú,L,15,3,False
7819,潽,pū,P,15,3,False
7820,潾,lín,L,15,3,False
7821,潏,yù,Y,15,3,False
7822,憭,liǎo,L,15,3,False
7823,憕,chéng,C,15,3,False
7824,𬸣,xiān,X,15,3,False
7825,戭,yǎn,Y,15,3,False
7826,褯,jiè,J,15,3,False
7827,禤,xuān,X,15,3,False
7828,𫍽,xuān,X,15,3,False
7829,嫽,liáo,L,15,3,False
7830,遹,yù,Y,15,3,False
7831,𬴊,lín,L,15,3,False
7832,璥,jǐng,J,16,3,False
7833,璲,suì,S,16,3,False
7834,璒,dēng,D,16,3,False
7835,憙,xǐ,X,16,3,False
7836,擐,huàn,H,16,3,False
7837,鄹,zōu,Z,16,3,False
7838,薳,wěi,W,16,3,False
7839,鞔,mán,M,16,3,False
7840,黇,tiān,T,16,3,False
7841,𬞟,pín,P,16,3,False
7842,蕗,lù,L,16,3,False
7843,薢,xiè,X,16,3,False
7844,蕹,wèng,W,16,3,False
7845,橞,huì,H,16,3,False
7846,橑,liáo,L,16,3,False
7847,橦,tóng,T,16,3,False
7848,醑,xǔ,X,16,3,False
7849,觱,bì,B,16,3,False
7850,磡,kàn,K,16,3,False
7851,𥕢,cáo,C,16,3,False
7852,磜,qì,Q,16,3,False
7853,豮,fén,F,16,3,False
7854,𫟦,suì,S,17,3,False
7855,𬺈,yǐ,Y,16,3,False
7856,𫠜,ní,N,16,3,False
7857,鹾,cuó,C,16,3,False
7858,虤,yán,Y,16,3,False
7859,暿,xī,X,16,3,False
7860,曌,zhào,Z,16,3,False
7861,曈,tóng,T,16,3,False
7862,㬚,chè,C,16,3,False
7863,蹅,chǎ,C,16,3,False
7864,踶,dì,D,16,3,False
7865,䗛,xiū,X,16,3,False
7866,螗,táng,T,16,3,False
7867,疁,liú,L,16,3,False
7868,㠓,méng,M,16,3,False
7869,幪,méng,M,16,3,False
7870,𪩘,yǎn,Y,16,3,False
7871,嶦,shàn,S,16,3,False
7872,𬭬,huì,H,16,3,False
7873,𨱑,huáng,H,17,3,False
7874,𬭯,piě,P,16,3,False
7875,馞,bó,B,16,3,False
7876,穄,jì,J,16,3,False
7877,篚,fěi,F,16,3,False
7878,篯,jiān,J,16,3,False
7879,簉,zào,Z,16,3,False
7880,鼽,qiú,Q,16,3,False
7881,衠,zhūn,Z,16,3,False
7882,盦,ān,Ā,16,3,False
7883,螣,téng,T,16,3,False
7884,縢,téng,T,16,3,False
7885,鲭,qīng,Q,16,3,False
7886,鲯,qí,Q,16,3,False
7887,鲰,zōu,Z,16,3,False
7888,鲺,shī,S,16,3,False
7889,鲹,shēn,S,16,3,False
7890,𫗴,zhān,Z,16,3,False
7891,亸,duǒ,D,16,3,False
7892,癀,huáng,H,16,3,False
7893,瘭,biāo,B,16,3,False
7894,𬸦,zhuó,Z,16,3,False
7895,羱,yuán,Y,16,3,False
7896,糒,bèi,B,16,3,False
7897,燋,jiāo,J,16,3,False
7898,熻,xī,X,16,3,False
7899,燊,shēn,S,16,3,False
7900,燚,yì,Y,16,3,False
7901,燏,yù,Y,16,3,False
7902,濩,huò,H,16,3,False
7903,濋,chǔ,C,16,3,False
7904,澪,líng,L,16,3,False
7905,澽,jù,J,16,3,False
7906,澴,huán,H,16,3,False
7907,澭,yōng,Y,16,3,False
7908,澼,pì,P,16,3,False
7909,憷,chù,C,16,3,False
7910,憺,dàn,D,16,3,False
7911,懔,lǐn,L,16,3,False
7912,黉,hóng,H,16,3,False
7913,嬛,xuān,X,16,3,False
7914,鹨,liù,L,16,3,False
7915,翯,hè,H,16,3,False
7916,𫄷,yì,Y,16,3,False
7917,璱,sè,S,17,3,False
7918,𤩽,huán,H,17,3,False
7919,璬,jiǎo,J,17,3,False
7920,璮,tǎn,T,17,3,False
7921,髽,zhuā,Z,17,3,False
